u_polar: -11703.433738

pos: -8.864000,-3.198000,-17.163000 ef_static: 2.203039,-1.353701,-0.103025 mu: 3.101556,-2.898108,1.214499
pos: -8.678000,-4.043000,-15.935000 ef_static: 2.845045,-1.928284,-0.386690 mu: 2.572747,-2.932342,1.226240
pos: -8.369000,-5.532000,-13.609000 ef_static: 2.326586,-0.789715,-1.948832 mu: 2.268777,-0.247118,-2.149622
pos: -9.777000,-4.556000,-15.287000 ef_static: 1.736988,-3.218688,-2.112919 mu: 0.891576,-3.163953,-1.502534
pos: -9.664000,-5.273000,-14.098000 ef_static: 1.153603,-3.075059,-2.233437 mu: 0.347037,-2.980204,-0.413750
pos: -12.515000,-4.450000,-14.103000 ef_static: -1.628251,-0.126153,0.039194 mu: -1.360001,0.284951,0.196491
pos: -10.006000,-3.046000,-17.608000 ef_static: 4.006379,1.780747,2.337414 mu: 4.340895,2.813772,3.062655
pos: -10.639000,-4.419000,-15.662000 ef_static: 0.995146,-1.915026,-0.429555 mu: 0.322552,-0.144087,0.434278
pos: -11.695203,-5.104929,-18.947615 ef_static: 7.121137,11.012166,-0.171538 mu: 8.130995,12.752471,-0.406601
pos: -10.801960,-5.765140,-18.607008 ef_static: -0.296269,9.499297,-0.127769 mu: -2.159660,4.894284,-0.027367
pos: -10.858094,-5.725253,-18.626858 ef_static: -0.006880,9.988927,-0.160456 mu: -0.000000,0.000000,-0.000000
pos: -5.909000,-5.238000,-13.667000 ef_static: -0.224171,1.172848,0.668371 mu: 0.102453,0.175340,1.311214
pos: -3.119000,-7.503000,-13.722000 ef_static: -0.060057,1.206234,-2.046636 mu: 1.807518,-0.331900,-3.677659
pos: -7.260000,-5.050000,-14.271000 ef_static: 1.235236,2.546561,-0.222011 mu: 1.600993,3.163801,0.067477
pos: -7.395000,-4.305000,-15.442000 ef_static: 0.798269,1.605812,1.758620 mu: 1.100218,2.206094,2.808670
pos: -4.920000,-4.744000,-14.266000 ef_static: -1.483157,1.069844,0.860497 mu: -0.924600,0.429759,0.555237
pos: -2.697000,-6.365000,-14.124000 ef_static: 0.008565,0.366901,-0.764511 mu: 0.338692,0.789723,-0.103683
pos: -7.804000,-2.701000,-17.629000 ef_static: 1.452865,-0.696543,0.348112 mu: 0.752431,-0.140055,0.086786
pos: -6.628000,-3.979000,-15.898000 ef_static: -0.872235,0.930269,1.568828 mu: -0.329506,0.086451,0.174038
pos: 1.333000,-7.858000,-19.021000 ef_static: -1.397704,-1.452030,0.868902 mu: -2.341703,-3.737210,2.914411
pos: -1.414000,-7.667000,-15.738000 ef_static: 1.364638,-1.531250,-0.211475 mu: 0.072886,-0.224193,0.085258
pos: 5.236000,-5.911000,-13.667000 ef_static: -0.173613,2.313019,-0.425365 mu: -0.858806,3.966208,-0.165026
pos: 7.501000,-3.121000,-13.722000 ef_static: -0.938304,0.090154,-0.351469 mu: -2.510920,0.256100,-0.269238
pos: 5.049000,-7.262000,-14.271000 ef_static: 1.831939,1.139443,-0.644761 mu: 1.970941,1.848442,0.775089
pos: 4.303000,-7.397000,-15.442000 ef_static: 1.120625,1.050574,-1.946941 mu: 1.756900,0.644878,-0.921052
pos: 4.742000,-4.922000,-14.267000 ef_static: -0.598514,2.301926,-0.578103 mu: -0.250230,2.361929,0.374668
pos: 6.363000,-2.699000,-14.124000 ef_static: -1.931733,-0.344528,-1.051423 mu: -2.461896,-0.781385,0.384836
pos: 2.699000,-7.806000,-17.629000 ef_static: -1.070446,-1.691704,0.800313 mu: -0.016471,-0.834356,0.509634
pos: 3.976000,-6.630000,-15.898000 ef_static: 0.235794,1.842638,-0.542477 mu: -0.087166,0.555025,0.141182
pos: 8.700000,-2.677000,-14.518000 ef_static: -0.398477,0.069286,0.017180 mu: -0.989918,-0.555284,1.177837
pos: 9.903000,-3.168000,-14.245000 ef_static: 0.133250,0.095862,-0.182308 mu: 0.278280,0.513825,-0.253456
pos: 11.056000,-2.816000,-14.981000 ef_static: 1.175899,0.243416,-1.987208 mu: 0.330512,0.535227,-2.019171
pos: 12.824000,-4.280000,-14.014000 ef_static: -0.403196,0.624491,0.001928 mu: -1.387087,1.474470,-0.303428
pos: 12.358000,-3.312000,-14.815000 ef_static: 0.579039,1.598228,-1.057826 mu: 0.644928,1.677278,-0.720092
pos: 12.967000,-2.925000,-15.319000 ef_static: -0.862711,1.387444,-1.260588 mu: 0.061216,0.426686,-0.480463
pos: -10.450000,-1.776000,-19.021000 ef_static: 0.468050,0.700339,-2.085582 mu: 0.345304,1.587904,-2.978179
pos: -9.481000,0.232000,-17.250000 ef_static: -1.018273,0.824160,-0.099550 mu: -0.771522,2.995111,0.782867
pos: -9.629000,1.283000,-16.220000 ef_static: -2.036217,0.512587,-0.360512 mu: -2.468333,1.620184,0.897394
pos: -8.533000,1.737000,-15.527000 ef_static: 0.423081,-0.496631,1.277133 mu: 0.010838,-0.647717,2.230168
pos: -10.868000,1.830000,-15.944000 ef_static: -0.693992,0.987284,-1.102647 mu: -1.095604,1.262651,-0.724326
pos: -10.502000,-0.367000,-17.647000 ef_static: 2.801247,0.806211,1.160715 mu: 3.090245,-0.017852,1.463190
pos: -8.291000,-0.004000,-17.643000 ef_static: -0.012711,-1.864331,0.415214 mu: -0.732442,-1.512634,0.563302
pos: -11.623000,1.521000,-16.434000 ef_static: 2.062494,3.349673,0.604020 mu: 0.690345,1.065778,0.288576
pos: -13.275986,0.155326,-18.990423 ef_static: 3.027967,-2.444546,-1.333983 mu: 2.959243,-3.143816,-1.090233
pos: -7.856000,-1.335000,-19.021000 ef_static: 0.538189,-0.763422,0.186166 mu: 0.610834,-0.454993,1.298087
pos: -7.665000,1.412000,-15.738000 ef_static: 1.568991,-0.544279,1.969111 mu: 0.190701,-0.076141,0.678508
pos: -2.987933,2.529840,-14.900793 ef_static: 31.346652,-3.542773,-24.435815 mu: 28.099706,-5.179527,-21.790537
